DATA;TEMPERATURA
2024-01-01 00:00;24.5
2024-01-01 01:00;23.8
2024-01-01 02:00;23.2
2024-01-01 03:00;22.9
2024-01-01 04:00;22.5
2024-01-01 05:00;22.2
2024-01-01 06:00;22.0
2024-01-01 07:00;22.8
2024-01-01 08:00;24.2
2024-01-01 09:00;25.8
2024-01-01 10:00;27.5
2024-01-01 11:00;29.2
2024-01-01 12:00;30.5
2024-01-01 13:00;31.1
2024-01-01 14:00;31.4
2024-01-01 15:00;31.0
2024-01-01 16:00;30.2
2024-01-01 17:00;29.1
2024-01-01 18:00;27.8
2024-01-01 19:00;26.5
2024-01-01 20:00;25.8
2024-01-01 21:00;25.2
2024-01-01 22:00;24.8
2024-01-01 23:00;24.3
