DATA;TEMPERATURA
2024-01-01 00:00;22.5
2024-01-01 01:00;21.8
2024-01-01 02:00;21.2
2024-01-01 03:00;20.9
2024-01-01 04:00;20.5
2024-01-01 05:00;20.2
2024-01-01 06:00;20.0
2024-01-01 07:00;20.8
2024-01-01 08:00;22.2
2024-01-01 09:00;23.8
2024-01-01 10:00;25.5
2024-01-01 11:00;27.2
2024-01-01 12:00;28.5
2024-01-01 13:00;29.1
2024-01-01 14:00;29.4
2024-01-01 15:00;29.0
2024-01-01 16:00;28.2
2024-01-01 17:00;27.1
2024-01-01 18:00;25.8
2024-01-01 19:00;24.5
2024-01-01 20:00;23.8
2024-01-01 21:00;23.2
2024-01-01 22:00;22.8
2024-01-01 23:00;22.3
