DATA;TEMPERATURA;TIPO
2024-01-01 00:00;23.5;CAPITAL
2024-01-01 01:00;22.8;CAPITAL
2024-01-01 02:00;22.2;CAPITAL
2024-01-01 03:00;21.9;CAPITAL
2024-01-01 04:00;21.5;CAPITAL
2024-01-01 05:00;21.2;CAPITAL
2024-01-01 06:00;21.0;CAPITAL
2024-01-01 07:00;21.8;CAPITAL
2024-01-01 08:00;23.2;CAPITAL
2024-01-01 09:00;24.8;CAPITAL
2024-01-01 10:00;26.5;CAPITAL
2024-01-01 11:00;28.2;CAPITAL
2024-01-01 12:00;29.5;CAPITAL
2024-01-01 13:00;30.1;CAPITAL
2024-01-01 14:00;30.4;CAPITAL
2024-01-01 15:00;30.0;CAPITAL
2024-01-01 16:00;29.2;CAPITAL
2024-01-01 17:00;28.1;CAPITAL
2024-01-01 18:00;26.8;CAPITAL
2024-01-01 19:00;25.5;CAPITAL
2024-01-01 20:00;24.8;CAPITAL
2024-01-01 21:00;24.2;CAPITAL
2024-01-01 22:00;23.8;CAPITAL
2024-01-01 23:00;23.3;CAPITAL
