DATA;TEMPERATURA
2024-01-01 00:00;22.5
2024-01-01 01:00;21.8
2024-01-01 02:00;21.2
2024-01-01 03:00;20.9
2024-01-01 04:00;20.5
2024-01-01 05:00;20.2
2024-01-01 06:00;20.0
2024-01-01 07:00;20.8
2024-01-01 08:00;22.2
2024-01-01 09:00;23.8
2024-01-01 10:00;25.5
2024-01-01 11:00;27.2
2024-01-01 12:00;28.5
2024-01-01 13:00;29.1
2024-01-01 14:00;29.4
2024-01-01 15:00;29.0
2024-01-01 16:00;28.2
2024-01-01 17:00;27.1
2024-01-01 18:00;25.8
2024-01-01 19:00;24.5
2024-01-01 20:00;23.8
2024-01-01 21:00;23.2
2024-01-01 22:00;22.8
2024-01-01 23:00;22.3
2024-01-02 00:00;21.9
2024-01-02 01:00;21.2
2024-01-02 02:00;20.8
2024-01-02 03:00;20.4
2024-01-02 04:00;20.1
2024-01-02 05:00;19.8
2024-01-02 06:00;19.6
2024-01-02 07:00;20.2
2024-01-02 08:00;21.8
2024-01-02 09:00;23.4
2024-01-02 10:00;25.2
2024-01-02 11:00;26.8
2024-01-02 12:00;28.2
2024-01-02 13:00;28.8
2024-01-02 14:00;29.1
2024-01-02 15:00;28.7
2024-01-02 16:00;27.9
2024-01-02 17:00;26.8
2024-01-02 18:00;25.4
2024-01-02 19:00;24.2
2024-01-02 20:00;23.4
2024-01-02 21:00;22.8
2024-01-02 22:00;22.4
2024-01-02 23:00;21.9
