DATA;TEMPERATURA
2024-01-01 00:00;19.5
2024-01-01 01:00;18.8
2024-01-01 02:00;18.2
2024-01-01 03:00;17.9
2024-01-01 04:00;17.5
2024-01-01 05:00;17.2
2024-01-01 06:00;17.0
2024-01-01 07:00;17.8
2024-01-01 08:00;19.2
2024-01-01 09:00;20.8
2024-01-01 10:00;22.5
2024-01-01 11:00;24.2
2024-01-01 12:00;25.5
2024-01-01 13:00;26.1
2024-01-01 14:00;26.4
2024-01-01 15:00;26.0
2024-01-01 16:00;25.2
2024-01-01 17:00;24.1
2024-01-01 18:00;22.8
2024-01-01 19:00;21.5
2024-01-01 20:00;20.8
2024-01-01 21:00;20.2
2024-01-01 22:00;19.8
2024-01-01 23:00;19.3
